mobile_contig_name	mobile_contig_length (bp)	mobile_contig_read_count (reads)	mobile_contig_read_depth (reads/kbp)	mobile_contig_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
k141_289304	10228	1801	176.085256159562	21.270572661864897	bin_27	3458515	341033	98.60677198161639	17018	0.002859334954785813	97	0.0027421509066808047	0.9590170267009566	0.21571107373670487	0.012712147128931596	4.445840494362032
k141_289598	5169	731	141.42000386922035	61.24488356541039	bin_93	1581948	685850	433.5477525177819	46405	0.0372055257739662	110	0.013496318720977884	0.3627503829127891	0.14126444713353334	0.09553938726153928	2.5678816593526275
k141_289647	10385	1809	174.19354838709677	52.6060422273606	bin_82	2073292	216403	104.37651811708143	15447	0.007222206876194466	257	0.011996290469718415	1.6610283636792629	0.504002654776731	0.023802038255200605	3.2956738380973105
k141_290154	7179	3039	423.318010865023	106.45202920282195	bin_8	4350483	1076343	247.40770162761237	57141	0.006052791498128601	342	0.010968365771436119	1.8121169009088307	0.43026966623314356	0.025491840657651334	4.2115841369280425
k141_290316	12555	1932	153.88291517323776	62.95210166177909	bin_76	2316338	567254	244.89258476094594	100751	0.03801484052733176	72	0.0024892826386381036	0.0654818645588785	0.2570600564456876	0.009683661760044959	0.2547337204553742
k141_291246	5407	1153	213.24209358239318	65.2781919129775	bin_6	4394121	1157448	263.4083130619298	29874	0.0031274806206256986	75	0.003160586012694328	1.0105853228475021	0.24782130508398184	0.012753487887666748	4.077879109324496
k141_293071	7173	775	108.04405409173289	30.143952395499145	bin_8	4350483	1076343	247.40770162761237	57141	0.006052791498128601	89	0.0028567244245084754	0.47196808702095816	0.12183918365189193	0.023446680607040624	3.873697056026109
k141_294347	8959	133	14.845406853443464	6.704377288651886	bin_88	1824387	28814	15.793798136031445	2132	0.0012898415508264722	28	0.0017130953088633364	1.3281439939391488	0.4244943002884622	0.004035614395055986	3.128767554797833
k141_294376	5352	1056	197.30941704035874	86.21177231042701	bin_75	2319019	363064	156.55930374007286	27439	0.010239756733713003	194	0.015666961381915097	1.5300130451667628	0.5506652766772638	0.02845097020907177	2.778481066391043
k141_295674	8842	257	29.06582221216919	8.07383950338033	bin_92	1628109	22311	13.703627951199827	2133	0.0016197124402866404	10	0.0006946499557655452	0.428872396412917	0.589175328762003	0.0011790207801558315	0.727919815166191
k141_295689	6193	6340	1023.7364766672049	368.6095175421225	bin_4	4852554	6214616	1280.6897151479407	503518	0.04284700136144786	916	0.030519585609999032	0.7122922174306326	0.2878210960720818	0.10603665272109075	2.4747741814319495
k141_295690	5765	7090	1229.8352124891587	381.4981782472382	bin_4	4852554	6214616	1280.6897151479407	503518	0.04284700136144786	903	0.03231724458565934	0.7542475216185653	0.29788493944699856	0.10848901809421424	2.532009584031909
k141_296652	7165	2741	382.55408234473134	119.10809619015407	bin_27	3458515	341033	98.60677198161639	17018	0.002859334954785813	406	0.016418022091156396	5.741902348193493	1.2079099010802201	0.013592091658884446	4.7535849677683535
k141_298526	96866	17053	176.04732310614665	68.81037502118423	bin_40	2997327	533989	178.15506950025807	46715	0.010559414372623964	3234	0.011510696921618517	1.090088570769684	0.3862386583452488	0.02980203217081756	2.82231865510283
k141_299025	5740	8706	1516.7247386759582	1461.8878170309322	bin_23	3576970	8215273	2296.7128603259184	2344922	0.3684554218803819	4532	0.22108546308345475	0.6000331382156444	0.6365130976031026	0.34733843485073496	0.942687810313991
k141_299284	5760	45	7.8125	3.3482142857142856	bin_116	845663	27150	32.104987447718536	912	0.0025650733890590287	3	0.000615887573812894	0.24010524472316408	0.10428953729281767	0.005905554764172011	2.30229465923328
k141_299413	13232	4542	343.25876662636034	138.35968747093293	bin_24	3573314	1711105	478.8566020226602	136369	0.0214684947974487	655	0.0139045137695825	0.6476706401994659	0.2889376211719966	0.048122891415741	2.241558705897718
k141_300548	17924	1421	79.27917875474225	38.34571554012756	bin_47	2817994	249732	88.62048677179583	29212	0.007407670796004633	326	0.006495517785486038	0.8768637219933465	0.4326958352064862	0.015011740943580659	2.026512969728261
k141_301244	11002	474	43.0830758043992	10.03304505033954	bin_110	1080194	50628	46.8693586522421	1798	0.003096642889139475	34	0.0028903575874101705	0.9333842134484455	0.21406405674935744	0.013502302214119122	4.360303301835128
k141_302296	6387	952	149.05276342570846	27.37703818023217	bin_1	7557399	1737186	229.8655926463589	70493	0.002471677401291282	27	0.000559363979304251	0.2263094605355948	0.11910020053480078	0.004696583018269615	1.9001601972069542
k141_302406	5431	298	54.87018965199779	15.930055060257423	bin_14	4030458	321418	79.74726445480886	18095	0.002233189131511316	36	0.001646849453433839	0.7374428928549055	0.1997567586695674	0.008244274008060052	3.691704339650229
k141_302496	7026	560	79.70395673213777	19.342382805288665	bin_27	3458515	341033	98.60677198161639	17018	0.002859334954785813	58	0.002391736627740329	0.8364660543659492	0.19615673869635175	0.012192987320423941	4.264273865507056
k141_303148	7716	22765	2950.3628823224467	2868.6980656637515	bin_41	2961698	6231470	2104.0193834752904	1872692	0.4313368478194047	14578	0.6395844293071883	1.4827957141629928	1.363437090073482	0.46909713250702173	1.0875424505893982
k141_303149	5334	14509	2720.097487814023	2631.1277532349795	bin_41	2961698	6231470	2104.0193834752904	1872692	0.4313368478194047	9079	0.575740922813567	1.334782608358613	1.2505244837093867	0.46039956059538073	1.0673782286927276
k141_303290	5675	12710	2239.647577092511	2121.6310182519705	bin_28	3420670	12575792	3676.4119309959747	3414626	0.5873893631723244	6364	0.3283781357307861	0.5590467862021	0.5770928443476139	0.5690213263725489	0.9687293676879423
