mobile_cluster_name	mobile_cluster_length (bp)	mobile_cluster_read_count (reads)	mobile_cluster_read_depth (reads/kbp)	mobile_cluster_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
vMAG_66	48856	4156	85.06631734075651	83.20448850839279	bin_38	2326984	898100	385.9502256998759	169611	0.06285855468396478	1296	0.011399707218701791	0.18135490508835794	0.21558346897585334	0.052878392173838835	0.8412282534922508
vMAG_10	10759	513	47.68101124639836	46.855366030010515	bin_151	273043	16076	58.87717319250081	3178	0.08784766682599189	227	0.07727213337433558	0.8796150901468532	0.7958154831383529	0.09709805226408466	1.105300297347861
vMAG_75	12581	5809	461.728002543518	452.0850344314298	bin_8	3640328	1526795	419.41138271056894	212391	0.03211411174496484	1594	0.034804278774135854	1.0837690000749531	1.0779035883806916	0.032288860663708785	1.0054414993673721
vMAG_90	20051	4480	223.43025285521918	209.8375378526203	bin_16	3187207	764328	239.81122029413214	149361	0.02954041225454865	1482	0.023190061269850147	0.7850283560710744	0.8750113426521551	0.026502583611729174	0.8971636341211957
vMAG_62	23376	7720	330.25325119780973	329.81010694930546	bin_11	3471114	3311405	953.989122800346	614653	0.1021822006798358	2977	0.03668932812929557	0.35905791698745126	0.34571684211784165	0.10612537099592498	1.0385896006335211
vMAG_31	33248	11336	340.95283926852744	317.6168107828895	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	2831	0.016185730068039472	0.9698605875558285	0.9934242874054159	0.016292867280618524	0.9762803263939419
vMAG_11	14560	1520	104.3956043956044	41.132830303337215	bin_56	1835300	198769	108.30327466899145	8104	0.00482345710908732	171	0.006399229278322614	1.3266893710460417	0.3797930434610769	0.016849253530307064	3.4931902884682704
vMAG_11	14560	1520	104.3956043956044	51.47617359598926	bin_82	1173334	142880	121.772658083717	9760	0.014248834433595708	214	0.01252652884669003	0.8791265633036728	0.42272357691822826	0.029632907958462802	2.0796724178782466
vMAG_79	86450	11680	135.106998264893	133.20557061143867	bin_5	4144424	257510	62.13408666680822	56148	0.006551494619556691	5044	0.014078160116255995	2.1488470850959196	2.143840486877174	0.006566794592429286	1.0023353408284765
vMAG_27	30045	2772	92.26160758861707	70.64311282154259	bin_4	4384505	579215	132.10499246779284	43799	0.004562433742891386	415	0.0031503247029518178	0.690492154074623	0.5347497585207869	0.005891212951018767	1.2912435079627664
vMAG_49	28591	1066	37.28446014480081	32.710530089862424	bin_181	179210	5041	28.129010657887395	536	0.03456530708056576	236	0.04605962710309355	1.3325392132561276	1.1628752424924111	0.03960839943962788	1.1459004066507363
vMAG_42	55630	2100	37.74941578285098	35.61668042788765	bin_203	140944	5148	36.52514473833579	648	0.06848205867322081	501	0.06389723614379889	0.9330507490830621	0.9751277012875287	0.06552704436499028	0.956849803211508
vMAG_21	12469	1952	156.54823963429305	132.7773572603223	bin_4	4384505	579215	132.10499246779284	43799	0.004562433742891386	391	0.007151951534508861	1.5675737857348917	1.0050896243962422	0.007115735115467978	1.5596358251897526
vMAG_104	12102	1988	164.2703685341266	160.2764800813941	bin_16	3187207	764328	239.81122029413214	149361	0.02954041225454865	923	0.023929536233713244	0.8100610115902684	0.6683443747328108	0.035804200855703676	1.2120413400862584
vMAG_43	19662	11678	593.9375445020852	288.3518439691652	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	1372	0.013264301027358582	0.7948064581475882	0.9018909434013416	0.014707211691620198	0.8812667029897197
vMAG_43	19662	11678	593.9375445020852	124.42003763101006	bin_46	2059579	287675	139.6766038107788	51828	0.024518942928980957	592	0.014618929104257194	0.5962299902814276	0.8907722140750433	0.016411523477342795	0.6693405798479454
vMAG_26	12915	1844	142.77971351142082	129.12426974380253	bin_20	2900191	1428423	492.5272163109257	227694	0.05424527900416885	643	0.017166824288215646	0.31646669725666526	0.2621667706222515	0.06548054983272775	1.2071197906032605
vMAG_23	32222	5738	178.07709018682888	154.51245011185486	bin_44	2136148	921639	431.4490381752575	81909	0.036004318542256164	1036	0.015051366232811957	0.41804335819179717	0.35812445141919835	0.04202831215005132	1.1673130849768798
